player_id,season,week,rush_attempt,rec_attempt,pass_attempt,rec_air_yards,lag_yards_per_rush_attempt,lag_yards_per_target,lag_yards_per_pass_attempt,lag_yards_per_rush_attempt_shrunk,lag_yards_per_target_shrunk,lag_yards_per_pass_attempt_shrunk,lag_avg_depth_of_target_shrunk,lag_rec_air_yards
00-0040170,2025,11.0,0.0,6.0,0.0,75.0,0.0,7.666666666666667,0.0,4.258976728496787,7.684459720647205,7.0964572513420325,10.395505980946748,72.0
00-0040170,2025,13.0,0.0,5.0,0.0,57.0,0.0,1.8333333333333333,0.0,4.258976728496787,7.514556808025846,7.0964572513420325,10.689647612245786,75.0
00-0040170,2025,14.0,0.0,3.0,0.0,22.0,0.0,1.0,0.0,4.258976728496787,7.521944890016216,7.0964572513420325,9.894972250971371,57.0
00-0040170,2025,15.0,0.0,1.0,0.0,15.0,0.0,4.666666666666667,0.0,4.258976728496787,7.640387696814405,7.0964572513420325,7.782220489084125,22.0
00-0040170,2025,16.0,0.0,4.0,0.0,80.0,0.0,17.0,0.0,4.258976728496787,7.7313368281259915,7.0964572513420325,9.429491839665156,15.0
00-0040170,2025,17.0,0.0,7.0,0.0,70.0,0.0,14.5,0.0,4.258976728496787,7.818621090457472,7.0964572513420325,13.906961158864727,80.0
00-0040170,2025,18.0,0.0,10.0,0.0,122.0,0.0,5.285714285714286,0.0,4.258976728496787,7.603858465958088,7.0964572513420325,9.288682183399573,70.0
00-0040170,2026,1.0,0.0,3.0,0.0,41.0,0.0,5.0,0.0,4.258976728496787,7.557136678349163,7.0964572513420325,10.98835592128794,122.0
00-0040172,2025,8.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040172,2025,9.0,0.0,1.0,0.0,19.0,0.0,3.5,0.0,4.258976728496787,7.643557932937249,7.0964572513420325,9.360209668368874,24.0
00-0040177,2025,20.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040179,2025,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040179,2025,2.0,0.0,1.0,0.0,-6.0,3.4166666666666665,0.0,0.0,3.9438989631747816,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0040179,2025,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.258976728496787,7.646759713698131,7.0964572513420325,5.390384272646779,-6.0
